City_Num,City,Country,"Lat, Long",Lat,Lon,OWM City #,OWM City Name,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
128,apucarana,br,"(-23.55, -51.483333)",-23.55,-51.483333,3471910,Apucarana,74.12,91.95,40.6,6.88175
129,sao joao da boa vista,br,"(-21.966667, -46.783333)",-21.966667,-46.783333,3445080,Vila Conrado,76.91,82.875,38.6,4.067
130,maposeni,tz,"(-10.5833333, 35.4)",-10.5833333,35.4,878073,Maposeni,82.55,55.75,9.4,3.593
131,sapapalii,ws,"(-13.6833333, -172.1166667)",-13.6833333,-172.1166667,4034894,Independent State of Samoa,79.56,100,11.5,10.87775
132,limeira,br,"(-22.561667, -47.402778)",-22.561667,-47.402778,3458575,Limeira,79.79,89.7,43.3,4.212
133,unai,br,"(-16.383333, -46.883333)",-16.383333,-46.883333,3445764,Unai,93.4,67.3,27.1,4.91575
134,sarandi,br,"(-27.933333, -52.916667)",-27.933333,-52.916667,3447997,Sarandi,67.47,84.125,10.8,6.239
135,mbuyapey,py,"(-26.2, -56.75)",-26.2,-56.75,3437744,Mbuyapey,75.66,76.35,12.8,6.90975
136,itapetinga,br,"(-15.25, -40.25)",-15.25,-40.25,3460730,Itapetinga,84.4,89.05,59.1,5.18
137,bandraboua,yt,"(-12.7016667, 45.1205556)",-12.7016667,45.1205556,1090119,Bandraboua,81.21,99.9,4.3,4.08575
138,coripata,bo,"(-16.3, -67.6)",-16.3,-67.6,3919097,Coripata,66.06,85.5,32.6,1.77775
139,soledade,br,"(-28.833333, -52.5)",-28.833333,-52.5,3447423,Soledade,66.93,85.775,8.4,6.669
140,riviere du rempart,mu,"(-20.1030556, 57.6847222)",-20.1030556,57.6847222,934091,Riviere du Rempart,75.85,81.375,22.1,8.43325
141,castro alves,br,"(-12.75, -39.433333)",-12.75,-39.433333,3466703,Castro Alves,91.36,76.15,30.4,5.367
142,yacuiba,bo,"(-22.0333333, -63.6833333)",-22.0333333,-63.6833333,3901178,Yacuiba,76.47,79.2,19.9,5.699
143,napier,nz,"(-39.483333, 176.916667)",-39.483333,176.916667,2185587,Onekawa,59.07,92.35,29.6,11.13875
144,gampengrejo,id,"(-7.7087, 112.1008)",-7.7087,112.1008,1644522,Gampengrejo,90.55,67.275,14.5,6.968
145,imperial,pe,"(-13.0666667, -76.35)",-13.0666667,-76.35,3938396,Imperial,71.92,85.3,14.1,2.1985
146,tingo maria,pe,"(-9.3, -75.9833333)",-9.3,-75.9833333,6659400,San Jorge,68.22,79.875,34.4,1.88875
147,jose bonifacio,br,"(-21.05, -49.683333)",-21.05,-49.683333,3459667,Jose Bonifacio,86.04,78.925,36.6,6.345
148,weleri,id,"(-6.9713, 110.0666)",-6.9713,110.0666,1621655,Weleri,86.86,72,33.3,2.3635
149,poco verde,br,"(-10.7, -38.183333)",-10.7,-38.183333,3453300,Poco Verde,95.43,74.05,43.7,7.71025
150,ilinge,za,"(-31.976764, 27.042674)",-31.976764,27.042674,994939,Ilinge,60.01,63.6,31,4.79575
151,porto ferreira,br,"(-21.85, -47.466667)",-21.85,-47.466667,3452775,Porto Ferreira,80.42,82.95,38.6,4.27375
152,saint-denis,re,"(-20.8666667, 55.4666667)",-20.8666667,55.4666667,935605,Les Camélias,74.95,94.6,16.2,2.9105
153,conceicao do coite,br,"(-11.55, -39.266667)",-11.55,-39.266667,3465748,Conceicao do Coite,93.51,73.3,28.2,7.6425
154,fagundes,br,"(-7.35, -35.8)",-7.35,-35.8,3400515,Fagundes,85.8,78.175,55.8,8.921
155,curuguaty,py,"(-24.516667, -55.7)",-24.516667,-55.7,3437088,San Isidro de Curuguaty,74.58,76.275,36,3.4175
156,lakatoro,vu,"(-16.1166667, 167.4166667)",-16.1166667,167.4166667,2136697,Lakatoro,80.63,85.9,50,9.278
157,novo oriente,br,"(-5.533333, -40.766667)",-5.533333,-40.766667,3393783,Novo Oriente,97.74,55.475,11.8,6.9525
158,lalomanu,ws,"(-14.0, -171.4)",-14,-171.4,4035358,Falefa,79.76,100,9.5,10.464
159,novo hamburgo,br,"(-29.683333, -51.133333)",-29.683333,-51.133333,3456068,Novo Hamburgo,66.93,77.9,9.1,3.2165
160,sideropolis,br,"(-28.583333, -49.433333)",-28.583333,-49.433333,3447598,Sideropolis,68.63,95.75,13,8.03375
161,tapiramuta,br,"(-11.85, -40.783333)",-11.85,-40.783333,3446866,Tapiramuta,89.89,70.925,27.2,7.19825
162,babat,id,"(-7.075, 112.304)",-7.075,112.304,1636912,Maduran,95.53,57.425,14.6,6.55175
163,pilar do sul,br,"(-23.816667, -47.7)",-23.816667,-47.7,3453896,Pilar do Sul,74.25,93.8,68.4,3.6075
164,mikumi,tz,"(-7.4, 36.9833333)",-7.4,36.9833333,153871,Mikumi,82.64,67.85,4.7,3.095
165,paramirim,br,"(-13.433333, -42.25)",-13.433333,-42.25,3455082,Paramirim,93.06,65.075,7.3,5.2715
166,waverley,nz,"(-39.766667, 174.633333)",-39.766667,174.633333,2179581,Waverley,56.27,90.45,61,11.14625
167,plaines des papayes,mu,"(-20.065, 57.5725)",-20.065,57.5725,934170,Plaine des Papayes,74.68,100,20.7,13.72875
168,hastings,au,"(-38.3, 145.183333)",-38.3,145.183333,2163837,Hastings,60.14,90.2,60.5,21.23225
169,entre-deux,re,"(-21.2333333, 55.4666667)",-21.2333333,55.4666667,935915,LEntre-Deux,74.95,94.6,16.2,2.9105
170,extrema,br,"(-22.85, -46.316667)",-22.85,-46.316667,3463668,Extrema,71.37,87.675,51.7,3.2725
171,sao mateus do sul,br,"(-25.866667, -50.383333)",-25.866667,-50.383333,3448502,Sao Mateus do Sul,69.35,85.5,48.1,5.313
172,brejo,br,"(-3.683333, -42.783333)",-3.683333,-42.783333,3410102,Cabeça Quebrada,97.88,78.525,19.5,6.24175
173,valenca,br,"(-13.366667, -39.083333)",-13.366667,-39.083333,3445597,Valenca,83.34,88.725,51.1,5.5925
174,stawell,au,"(-37.05632, 142.780884)",-37.05632,142.780884,2148431,Stawell,58.7,89.775,62.4,13.2765
175,manicore,br,"(-5.812222, -61.2975)",-5.812222,-61.2975,3663503,Manicore,98.08,85.275,31,2.5905
176,waitakere,nz,"(-36.85, 174.55)",-36.85,174.55,2179867,Waitakere,58.58,96,49.5,7.76
177,jatiroto,id,"(-7.883333, 111.116667)",-7.883333,111.116667,1642692,Jatiroto,90.76,69.225,16.4,4.38975
178,portovelo,ec,"(-3.7166667, -79.6166667)",-3.7166667,-79.6166667,3652943,Portovelo,84.92,79.4,29.2,2.39675
179,casa nova,br,"(-9.416667, -41.133333)",-9.416667,-41.133333,3402621,Casa Nova,91.24,64.6,1.4,12.28975
180,saint-philippe,re,"(-21.35, 55.7666667)",-21.35,55.7666667,6690301,Saint-Philippe,72.79,100,22.3,9.98275
181,goiana,br,"(-7.55, -34.983333)",-7.55,-34.983333,3398904,Goiana,82.35,99.1,65.1,11.054
182,padang,id,"(-0.953154, 100.367659)",-0.953154,100.367659,1633419,Padang,80.86,100,75.9,5.137
183,palmerston,au,"(-12.45722, 130.836639)",-12.45722,130.836639,2073124,Darwin,90.27,65.275,9.1,10.158
184,benjamin constant,br,"(-4.374444, -70.029722)",-4.374444,-70.029722,3665016,Benjamin Constant,88.41,91.3,40.8,3.2435
185,lira,ug,"(2.235, 32.9097222)",2.235,32.9097222,230166,Lira,85.25,84.225,27.3,4.3575
186,oron,ng,"(4.825614, 8.234345)",4.825614,8.234345,2325688,Oron,80.01,99.375,86,3.8165
187,pedras de fogo,br,"(-7.383333, -35.116667)",-7.383333,-35.116667,3392478,Pedras de Fogo,84.81,83.25,61.5,8.32975
188,gloria do goita,br,"(-8.016667, -35.283333)",-8.016667,-35.283333,3387743,Serrinha,84.61,84.675,50.1,7.2515
189,waiouru,nz,"(-39.483333, 175.666667)",-39.483333,175.666667,2180063,Waiouru,52.9,88.175,53.4,7.8835
190,triolet,mu,"(-20.0547222, 57.5452778)",-20.0547222,57.5452778,933953,Trou aux Biches,74.68,100,20.7,13.72875
191,bintulu,my,"(3.166667, 113.033333)",3.166667,113.033333,1737486,Bintulu,90.28,90.475,50.8,2.785
192,sento se,br,"(-9.666667, -41.3)",-9.666667,-41.3,3402621,Casa Nova,93,64.6,1.4,12.28975
193,acopiara,br,"(-6.1, -39.45)",-6.1,-39.45,3408343,Acopiara,96.48,52.25,29.5,7.03775
194,thames,nz,"(-37.133333, 175.533333)",-37.133333,175.533333,2208333,Thames,58.03,88.325,52,4.79875
195,la huaca,pe,"(-4.9116667, -80.96)",-4.9116667,-80.96,3695829,La Huaca,83.62,77.9,4.9,7.37675
196,songea,tz,"(-10.6833333, 35.65)",-10.6833333,35.65,877401,Songea,82.55,55.75,9.4,3.593
197,mbini,gq,"(1.5833333, 9.6166667)",1.5833333,9.6166667,2308278,Mbini,80.92,98.95,62.9,8.46775
198,kundiawa,pg,"(-6.0166667, 144.9666667)",-6.0166667,144.9666667,2093059,Kundiawa,72.62,87.25,52.2,1.6865
199,bugembe,ug,"(0.4797222, 33.2344444)",0.4797222,33.2344444,234578,Bugembe,86.6,78.85,22.8,4.30375
200,vaitape,pf,"(-16.5166667, -151.75)",-16.5166667,-151.75,4033077,Vaitape,80.66,99.075,52.8,12.21725
201,sao joaquim,br,"(-28.3, -49.933333)",-28.3,-49.933333,3448828,Sao Joaquim,61.58,77.325,24.4,4.2645
202,bentong,my,"(3.5316, 101.9038)",3.5316,101.9038,1779790,Bentong Town,85.97,83.7,53.5,2.615
203,santa helena,br,"(-2.233333, -45.3)",-2.233333,-45.3,3389622,Santa Helena,92.3,84.325,32.3,8.10075
204,ouro preto do oeste,br,"(-10.666667, -62.3)",-10.666667,-62.3,3969406,Sítio Paraná,95.31,71.55,34.2,2.8325
205,pajan,ec,"(-1.5666667, -80.4166667)",-1.5666667,-80.4166667,3653609,Pajan,85.28,89.45,44.3,4.21675
206,arinos,br,"(-15.916667, -46.066667)",-15.916667,-46.066667,3471522,Arinos,92.91,60.8,29.6,5.2465
207,monte alegre,br,"(-5.889722, -36.301389)",-5.889722,-36.301389,3394594,Monte Alegre,94.24,81.575,41.8,9.44025
208,san pedro de uraba,co,"(8.275147, -76.376407)",8.275147,-76.376407,3669087,San Pedro de Uraba,90.09,88.9,47.2,6.468
209,beberibe,br,"(-4.183333, -38.133333)",-4.183333,-38.133333,3405924,Beberibe,88.23,76.85,35.2,10.39975
210,la plata,ar,"(-34.921454, -57.954533)",-34.921454,-57.954533,3432043,La Plata,64.2,83.95,26.5,11.5875
211,mandapam,in,"(9.283333, 79.116667)",9.283333,79.116667,1263900,Mandapam,86.05,96.8,31.6,23.52875
212,kondoa,tz,"(-4.9, 35.7833333)",-4.9,35.7833333,156510,Kondoa,79.99,61.025,4.6,6.58025
213,keningau,my,"(5.3378, 116.1602)",5.3378,116.1602,1734098,Keningau,81.99,83.725,61.5,1.76475
214,sembe,cg,"(1.6480556, 14.5805556)",1.6480556,14.5805556,2255304,Sembe,83.84,88.8,65.8,2.75675
215,halalo,wf,"(-13.35, -176.1833333)",-13.35,-176.1833333,4034749,Wallis et Futuna,79.04,100,21,12.82875
216,borama,so,"(9.9333333, 43.1833333)",9.9333333,43.1833333,8045596,Baki,96.08,43.85,50.4,5.85825
217,conceicao da feira,br,"(-12.5, -39.0)",-12.5,-39,3465767,Conceicao da Feira,90.32,80.4,38.9,5.10125
218,malapag,ph,"(7.133333, 124.816667)",7.133333,124.816667,1703062,Malapag,90.19,80.85,44.7,3.66075
219,anibongan,ph,"(7.393333, 125.718889)",7.393333,125.718889,1730686,Anibongan,87,83.15,49.2,6.24675
220,llano marin,pa,"(8.5, -80.3333333)",8.5,-80.3333333,3705691,Llano Marin,89.02,97.925,52.9,3.19875
221,cordeiro,br,"(-22.033333, -42.366667)",-22.033333,-42.366667,3465527,Cordeiro,75.36,92.8,73.6,2.962
222,sabanalarga,co,"(6.848931, -75.817106)",6.848931,-75.817106,3670506,Sabanalarga,74.14,87.425,31.9,2.6795
223,orotina,cr,"(9.911972, -84.52337)",9.911972,-84.52337,3622660,Orotina,84.38,86.525,60,1.692
224,makaleng,bw,"(-20.9, 27.2833333)",-20.9,27.2833333,933456,Makaleng,91.19,30.325,0,7.87475
225,gaoual,gn,"(11.75, -13.2)",11.75,-13.2,2420826,Gaoual,80.52,96.475,87.7,7.385
226,gbadolite,cd,"(4.283333, 21.016667)",4.283333,21.016667,216404,Gbadolite,83.5,91.125,50.5,3.6405
227,cucutilla,co,"(7.539411, -72.772384)",7.539411,-72.772384,3685529,Cucutilla,83.26,69,15,2.45075
228,chiradzulu,mw,"(-15.7, 35.1833333)",-15.7,35.1833333,930580,Chiradzulu,85.16,56.4,1.1,4.533
229,rakaia,nz,"(-43.75, 172.016667)",-43.75,172.016667,2183824,Rakaia,58.93,88.275,48.5,7.70425
230,monte alegre de minas,br,"(-18.866667, -48.866667)",-18.866667,-48.866667,3456880,Monte Alegre de Minas,86.13,69.6,32.5,4.709
231,paciran,id,"(-6.866667, 112.333333)",-6.866667,112.333333,8080430,Sumurgayam,83.49,99.45,9.6,12.8605
232,jakarta,id,"(-6.174444, 106.829444)",-6.174444,106.829444,1631845,Pecenongan,86.35,88.375,17.2,5.66525
233,panggulayan,ph,"(13.039801, 121.447916)",13.039801,121.447916,1695185,Pangulayan,82.37,96.275,69.5,5.66025
